ID	taxanomy
AJ581046.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AJ581049.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AJ585348.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Debaryomycetaceae;genus__Yamadazyma;species__[Candida] membranifaciens
AJ606465.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Debaryomycetaceae;genus__Yamadazyma;species__[Candida] membranifaciens
AJ608660.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cuniculitremaceae;genus__Fellomyces;species__Fellomyces sp. CBS 8275
AJ608661.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cuniculitremaceae;genus__Fellomyces;species__Fellomyces sp. CBS 7727
AM158220.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium commune
AM160644.1	kingdom__Fungi;phylum__Basidiomycota;class__Microbotryomycetes;order__Sporidiobolales;family__Sporidiobolaceae;genus__Sporobolomyces;species__Sporobolomyces roseus
AM160647.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AM160648.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Cryptococcaceae;genus__Cryptococcus;species__Cryptococcus sp. HB 1222
AM176726.1	kingdom__Fungi;phylum__Ascomycota;class__Eurotiomycetes;order__Eurotiales;family__Aspergillaceae;genus__Penicillium;species__Penicillium decumbens
AM262325.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Rhynchogastremataceae;genus__Papiliotrema;species__Papiliotrema rajasthanensis
AM887493.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Pyrenophora;species__Pyrenophora tritici-repentis
AM887495.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Pyrenophora;species__Pyrenophora tritici-repentis
AM887509.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Pyrenophora;species__Pyrenophora tritici-repentis
AM922223.1	kingdom__Fungi;phylum__Basidiomycota;species__endophytic basidiomycete sp. 2696
AP012217.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Saccharomycetaceae;genus__Kluyveromyces;species__Kluyveromyces marxianus
AP012219.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Saccharomycetaceae;genus__Kluyveromyces;species__Kluyveromyces marxianus
AP014603.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Saccharomycetaceae;genus__Kluyveromyces;species__Kluyveromyces marxianus
AY004808.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Pyrenophora;species__Pyrenophora tritici-repentis
AY015435.1	kingdom__Fungi;phylum__Basidiomycota;class__Microbotryomycetes;order__Sporidiobolales;family__Sporidiobolaceae;genus__Sporidiobolus;species__Sporidiobolus sp. CBS 5541
AY015438.1	kingdom__Fungi;phylum__Basidiomycota;class__Microbotryomycetes;order__Sporidiobolales;family__Sporidiobolaceae;genus__Sporobolomyces;species__Sporobolomyces roseus
AY040654.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AY040655.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AY040656.1	kingdom__Fungi;phylum__Basidiomycota;class__Tremellomycetes;order__Tremellales;family__Bulleribasidiaceae;genus__Vishniacozyma;species__Vishniacozyma victoriae
AY070006.1	kingdom__Fungi;phylum__Basidiomycota;class__Microbotryomycetes;order__Sporidiobolales;family__Sporidiobolaceae;genus__Sporobolomyces;species__Sporobolomyces sp. AS 2.2108
AY139786.1	kingdom__Fungi;phylum__Ascomycota;class__Saccharomycetes;order__Saccharomycetales;family__Saccharomycetaceae;genus__Kluyveromyces;species__Kluyveromyces marxianus
AY154688.1	kingdom__Fungi;phylum__Ascomycota;class__Dothideomycetes;order__Pleosporales;family__Pleosporaceae;genus__Alternaria;species__Alternaria infectoria
